order_id,customer_id,customer_age,customer_gender,city,restaurant_id,restaurant_name,cuisine,restaurant_rating,customer_rating,order_amount,delivery_distance_km,delivery_time_minutes,order_date,order_hour,payment_method,discount_applied,delivery_partner,is_late_delivery
100028,C00028,57,Female,Chennai,R0156,Restaurant_59,Chinese,4.4,3.1,713,9.4,61,2024-10-31,6,Debit Card,10,DP001,1
100029,C00029,18,Female,Bangalore,R0386,Restaurant_228,Pizza,4.8,4.9,595,8.8,53,2024-06-17,19,UPI,20,DP001,0
100030,C00030,21,Male,Pune,R0447,Restaurant_290,Chinese,4.3,4.7,478,3.4,21,2025-01-30,22,Debit Card,5,DP001,1
100031,C00031,58,Female,Mumbai,R0453,Restaurant_417,Chinese,3.6,4.2,534,7.4,40,2025-05-16,3,Credit Card,5,DP002,0
100032,C00032,18,Male,Chennai,R0253,Restaurant_199,Burger,4.4,4.2,727,11.5,51,2024-03-27,9,Debit Card,5,DP001,0
100033,C00033,27,Male,Mumbai,R0327,Restaurant_99,Burger,3.9,4.1,638,6.9,42,2024-03-11,15,Debit Card,5,DP004,0
100034,C00034,55,Female,Bangalore,R0484,Restaurant_259,North Indian,4.8,3.6,570,10.3,66,2025-01-29,10,Cash,20,DP001,0
100035,C00035,55,Female,Mumbai,R0428,Restaurant_11,Desserts,4.2,4.9,643,3.2,13,2024-10-21,9,Debit Card,0,DP001,1
100036,C00036,42,Female,Mumbai,R0496,Restaurant_377,Biryani,4.1,3.3,569,6.0,35,2025-07-12,1,Wallet,25,DP005,1
100037,C00037,26,Male,Bangalore,R0435,Restaurant_330,South Indian,4.0,3.6,659,13.9,92,2025-08-27,22,Debit Card,25,DP003,1
100038,C00038,45,Female,Pune,R0057,Restaurant_25,Biryani,4.2,3.9,738,12.1,61,2024-11-29,0,Debit Card,20,DP002,0
100039,C00039,57,Male,Mumbai,R0115,Restaurant_111,Pizza,3.9,3.9,608,8.1,45,2024-02-28,2,Wallet,10,DP005,1
100040,C00040,45,Male,Pune,R0075,Restaurant_483,Chinese,3.7,3.3,621,7.8,50,2024-10-13,16,Credit Card,15,DP004,1
100041,C00041,18,Male,Chennai,R0403,Restaurant_102,Pizza,4.7,3.5,633,12.2,72,2025-07-15,0,Credit Card,5,DP001,0
100042,C00042,60,Female,Delhi,R0094,Restaurant_159,Chinese,4.0,3.7,528,14.7,58,2025-03-25,20,UPI,0,DP003,1
100043,C00043,37,Male,Mumbai,R0427,Restaurant_233,Chinese,4.1,4.6,593,13.0,64,2024-06-20,15,Debit Card,5,DP001,1
100044,C00044,24,Male,Kolkata,R0431,Restaurant_305,Biryani,4.7,4.1,752,13.6,56,2025-09-26,0,UPI,25,DP005,1
100045,C00045,55,Male,Hyderabad,R0136,Restaurant_240,Pizza,4.7,3.4,563,9.5,54,2024-07-05,2,Cash,15,DP005,0
100046,C00046,59,Male,Hyderabad,R0087,Restaurant_73,Biryani,4.5,3.6,685,14.4,76,2025-01-21,9,Debit Card,5,DP001,0
100047,C00047,26,Male,Mumbai,R0398,Restaurant_313,North Indian,3.8,3.4,545,9.5,65,2025-12-08,8,UPI,15,DP001,0
100048,C00048,52,Male,Pune,R0228,Restaurant_352,Desserts,4.5,3.3,598,9.1,43,2025-12-29,9,Cash,0,DP003,0
100049,C00049,18,Male,Hyderabad,R0243,Restaurant_147,South Indian,4.5,4.9,646,8.6,45,2025-07-15,16,Credit Card,10,DP004,1
100050,C00050,42,Female,Mumbai,R0424,Restaurant_276,Chinese,3.7,3.9,669,10.3,68,2025-08-02,18,Cash,0,DP005,0
100051,C00051,19,Male,Pune,R0493,Restaurant_75,Desserts,3.9,4.9,708,11.0,76,2025-08-09,13,Wallet,15,DP002,0
100052,C00052,28,Male,Chennai,R0307,Restaurant_163,Chinese,3.6,4.9,492,13.9,64,2024-09-29,4,Debit Card,5,DP001,1
100053,C00053,19,Female,Delhi,R0017,Restaurant_497,Biryani,4.3,4.0,644,10.0,59,2025-05-15,11,UPI,20,DP004,0
100054,C00054,38,Female,Kolkata,R0133,Restaurant_350,Desserts,3.9,3.8,657,9.8,46,2025-11-14,3,UPI,5,DP004,0
100055,C00055,43,Male,Chennai,R0195,Restaurant_492,Chinese,4.0,3.3,522,14.4,75,2024-04-23,1,Wallet,15,DP005,1
100056,C00056,49,Male,Pune,R0429,Restaurant_327,North Indian,4.0,3.7,497,4.2,26,2025-06-03,20,UPI,25,DP001,1
100057,C00057,54,Female,Pune,R0095,Restaurant_246,South Indian,4.3,4.2,599,10.8,60,2025-04-03,22,UPI,0,DP001,1
100058,C00058,22,Male,Delhi,R0130,Restaurant_10,Pizza,3.7,3.2,564,9.0,43,2024-03-27,11,Cash,0,DP001,0
100059,C00059,41,Male,Kolkata,R0031,Restaurant_406,Biryani,4.3,4.1,700,14.9,82,2025-05-09,1,UPI,10,DP003,0
100060,C00060,41,Female,Pune,R0275,Restaurant_421,Biryani,3.8,4.5,504,4.1,25,2024-11-25,1,Debit Card,20,DP003,1
100061,C00061,46,Male,Chennai,R0340,Restaurant_383,Chinese,4.1,3.4,726,14.7,77,2024-12-02,11,Wallet,5,DP005,1
100062,C00062,24,Female,Chennai,R0381,Restaurant_196,Desserts,3.9,4.5,495,6.1,27,2024-06-19,9,Credit Card,20,DP003,0
100063,C00063,40,Male,Pune,R0038,Restaurant_183,Burger,3.7,4.9,514,11.5,46,2025-09-12,12,UPI,10,DP004,0
100064,C00064,37,Male,Mumbai,R0236,Restaurant_230,South Indian,3.7,3.4,638,9.4,61,2024-09-08,1,Wallet,10,DP003,0
100065,C00065,38,Female,Delhi,R0410,Restaurant_151,Pizza,4.6,3.1,735,9.0,50,2024-07-16,19,UPI,5,DP002,0
100066,C00066,28,Male,Delhi,R0252,Restaurant_54,Desserts,3.7,4.4,485,8.3,53,2025-04-14,23,UPI,10,DP005,1
100067,C00067,34,Male,Mumbai,R0349,Restaurant_368,Pizza,4.3,4.3,665,2.2,13,2025-09-15,18,Credit Card,15,DP002,1
100068,C00068,44,Male,Chennai,R0327,Restaurant_145,Desserts,4.6,4.4,642,14.1,71,2024-10-05,1,Wallet,10,DP005,1
100069,C00069,24,Male,Pune,R0001,Restaurant_84,Pizza,4.6,3.7,659,8.8,42,2024-09-30,15,Cash,15,DP001,1
100070,C00070,36,Male,Kolkata,R0051,Restaurant_101,Desserts,3.6,4.7,494,1.3,5,2025-08-04,20,Wallet,10,DP005,1
100071,C00071,49,Male,Pune,R0157,Restaurant_499,Desserts,4.2,3.7,618,12.1,59,2024-12-09,10,Debit Card,25,DP002,1
100072,C00072,30,Female,Delhi,R0017,Restaurant_94,Pizza,4.6,3.1,766,13.7,60,2025-06-05,20,Debit Card,20,DP003,1
100073,C00073,44,Female,Chennai,R0420,Restaurant_342,Burger,4.6,3.2,544,1.5,7,2025-04-17,17,Credit Card,10,DP001,1
100074,C00074,34,Male,Delhi,R0473,Restaurant_431,Biryani,5.0,3.5,647,6.4,39,2024-10-16,6,UPI,0,DP005,1
100075,C00075,42,Female,Kolkata,R0388,Restaurant_87,Pizza,4.9,3.8,721,5.1,22,2024-09-27,19,Wallet,25,DP004,1
100076,C00076,47,Male,Hyderabad,R0283,Restaurant_176,Pizza,4.4,5.0,663,14.7,86,2024-11-25,10,Debit Card,25,DP005,0
100077,C00077,19,Male,Mumbai,R0120,Restaurant_46,Desserts,4.4,4.4,564,4.0,25,2025-07-03,22,Wallet,20,DP002,1
100078,C00078,35,Female,Hyderabad,R0281,Restaurant_380,Burger,3.6,4.2,438,6.4,28,2024-10-23,17,Cash,0,DP003,0
100079,C00079,21,Female,Mumbai,R0372,Restaurant_463,Biryani,4.4,4.9,518,3.2,18,2024-10-28,18,UPI,10,DP004,1
100080,C00080,44,Female,Mumbai,R0414,Restaurant_407,Desserts,3.7,3.2,495,14.0,87,2025-09-24,14,Credit Card,20,DP005,0
100081,C00081,32,Female,Bangalore,R0142,Restaurant_400,Chinese,4.4,3.8,691,5.0,29,2025-05-06,8,UPI,5,DP001,0
100082,C00082,26,Female,Bangalore,R0049,Restaurant_332,Desserts,3.7,3.3,610,7.7,43,2024-02-18,14,UPI,10,DP003,1
100083,C00083,28,Male,Hyderabad,R0144,Restaurant_185,Biryani,4.3,3.8,466,2.8,12,2024-07-25,13,Wallet,0,DP004,1
100084,C00084,22,Female,Pune,R0454,Restaurant_153,Burger,4.8,3.4,544,9.2,39,2024-12-17,9,Debit Card,15,DP004,1
100085,C00085,21,Female,Chennai,R0131,Restaurant_305,Burger,3.8,3.2,609,3.3,21,2025-07-14,12,Cash,25,DP005,1
100086,C00086,55,Male,Pune,R0022,Restaurant_102,Desserts,4.0,3.6,627,13.5,87,2024-03-05,6,Debit Card,0,DP005,1
100087,C00087,56,Female,Kolkata,R0232,Restaurant_373,North Indian,4.9,4.8,701,2.2,9,2025-11-26,8,Credit Card,5,DP003,1
100088,C00088,32,Female,Hyderabad,R0028,Restaurant_428,Pizza,4.4,4.2,482,1.4,9,2024-10-02,5,Credit Card,5,DP005,1
100089,C00089,22,Male,Pune,R0344,Restaurant_243,Chinese,4.3,3.1,513,2.9,12,2024-01-08,8,UPI,10,DP005,1
100090,C00090,49,Male,Mumbai,R0437,Restaurant_473,Biryani,4.5,3.3,555,2.2,11,2024-05-03,2,Debit Card,20,DP003,0
100091,C00091,53,Female,Chennai,R0140,Restaurant_259,Burger,4.1,3.4,556,11.6,63,2025-01-03,16,UPI,15,DP004,1
100092,C00092,53,Male,Bangalore,R0077,Restaurant_229,Burger,4.9,3.1,609,5.1,27,2024-03-16,14,Wallet,15,DP003,0
100093,C00093,36,Female,Bangalore,R0285,Restaurant_340,Desserts,4.2,4.2,522,8.9,46,2024-10-31,18,Cash,15,DP002,0
100094,C00094,42,Male,Delhi,R0106,Restaurant_323,South Indian,3.9,3.9,614,6.9,34,2024-01-23,20,Cash,0,DP004,0
100095,C00095,45,Male,Pune,R0083,Restaurant_193,Burger,4.3,3.7,513,9.8,58,2024-01-09,15,Wallet,5,DP002,1
100096,C00096,33,Male,Chennai,R0313,Restaurant_136,Desserts,3.8,4.3,494,10.0,65,2025-10-31,23,Debit Card,5,DP001,0
100097,C00097,18,Female,Mumbai,R0344,Restaurant_91,Chinese,4.9,4.5,666,13.5,54,2025-11-22,0,Wallet,25,DP001,0
100098,C00098,39,Male,Delhi,R0255,Restaurant_440,Biryani,4.0,3.7,661,7.0,30,2024-05-05,8,Debit Card,0,DP003,1
100099,C00099,23,Male,Mumbai,R0268,Restaurant_500,Biryani,3.9,4.0,639,13.7,70,2024-01-25,0,Debit Card,25,DP001,0
100100,C00100,26,Female,Mumbai,R0198,Restaurant_318,South Indian,4.8,3.4,659,6.2,34,2025-09-03,15,UPI,25,DP004,0
100101,C00101,43,Male,Mumbai,R0070,Restaurant_496,Pizza,3.7,3.5,638,2.6,10,2025-08-04,15,Wallet,10,DP002,0
100102,C00102,19,Male,Hyderabad,R0130,Restaurant_5,Desserts,4.1,3.0,740,13.4,72,2025-07-06,23,Debit Card,0,DP004,0
100103,C00103,38,Female,Chennai,R0006,Restaurant_341,Pizza,4.1,3.9,630,12.1,80,2024-05-01,9,Wallet,15,DP003,1
100104,C00104,58,Male,Kolkata,R0410,Restaurant_478,South Indian,3.7,4.3,692,10.8,62,2024-10-19,6,Wallet,15,DP002,1
100105,C00105,37,Male,Kolkata,R0472,Restaurant_425,Pizza,4.1,3.2,745,14.6,76,2024-11-17,12,Credit Card,20,DP004,1
100106,C00106,55,Male,Chennai,R0463,Restaurant_97,Biryani,4.8,3.7,693,4.7,25,2025-07-08,17,Credit Card,15,DP002,0
100107,C00107,27,Female,Chennai,R0432,Restaurant_304,Burger,4.0,4.9,559,7.0,43,2024-03-07,8,Credit Card,10,DP002,1
100108,C00108,29,Male,Pune,R0155,Restaurant_206,North Indian,3.6,4.3,538,4.6,27,2024-06-11,17,Wallet,5,DP001,0
100109,C00109,39,Female,Chennai,R0429,Restaurant_105,Pizza,4.9,3.4,708,5.9,36,2024-07-18,12,UPI,15,DP004,1
100110,C00110,49,Male,Mumbai,R0129,Restaurant_261,Biryani,4.5,4.7,761,13.3,88,2024-03-18,5,Cash,20,DP001,0
100111,C00111,19,Male,Bangalore,R0122,Restaurant_383,Chinese,4.0,4.2,600,13.9,67,2024-07-26,10,UPI,5,DP002,1
100112,C00112,22,Male,Delhi,R0325,Restaurant_370,Biryani,3.9,4.5,495,11.3,50,2025-02-19,3,Debit Card,5,DP002,1
100113,C00113,20,Female,Pune,R0075,Restaurant_116,North Indian,4.4,4.3,722,11.8,47,2024-08-15,14,Wallet,0,DP001,1
100114,C00114,54,Male,Kolkata,R0091,Restaurant_211,Burger,5.0,4.4,612,4.0,23,2025-05-28,12,Credit Card,25,DP001,1
100115,C00115,34,Male,Kolkata,R0313,Restaurant_158,Desserts,4.6,4.9,500,1.6,9,2024-07-10,1,Debit Card,20,DP005,0
100116,C00116,45,Female,Kolkata,R0176,Restaurant_342,Desserts,3.8,4.0,590,3.6,21,2025-12-23,6,Cash,20,DP005,0
100117,C00117,46,Male,Pune,R0340,Restaurant_123,Biryani,5.0,4.4,520,5.4,33,2024-09-17,7,Credit Card,20,DP001,0
100118,C00118,38,Male,Bangalore,R0431,Restaurant_207,Chinese,4.7,3.7,625,3.8,18,2024-02-11,21,UPI,25,DP005,1
100119,C00119,60,Female,Bangalore,R0443,Restaurant_1,Desserts,4.4,4.3,496,6.4,35,2024-03-12,4,Wallet,25,DP005,1
100120,C00120,40,Female,Delhi,R0141,Restaurant_222,Chinese,3.9,4.0,565,5.0,23,2025-02-25,21,Debit Card,25,DP002,0
100121,C00121,51,Male,Kolkata,R0253,Restaurant_448,Chinese,4.4,4.8,567,1.8,12,2024-12-05,3,Credit Card,25,DP005,0
100122,C00122,28,Female,Delhi,R0397,Restaurant_447,Chinese,4.4,3.5,622,7.8,41,2025-11-16,16,UPI,25,DP005,1
100123,C00123,47,Female,Delhi,R0125,Restaurant_277,South Indian,3.8,4.8,664,8.7,48,2024-06-18,22,UPI,20,DP001,1
100124,C00124,24,Male,Bangalore,R0472,Restaurant_108,Burger,3.8,3.8,636,4.6,22,2024-09-03,19,UPI,25,DP004,1
100125,C00125,55,Male,Mumbai,R0090,Restaurant_155,Chinese,4.9,3.8,552,12.3,54,2024-11-23,23,Credit Card,15,DP003,1
100126,C00126,42,Female,Pune,R0200,Restaurant_400,Burger,4.1,3.7,464,2.5,17,2024-09-16,22,UPI,10,DP004,0
100127,C00127,27,Female,Kolkata,R0301,Restaurant_14,Desserts,4.8,3.2,663,10.5,48,2025-07-24,23,UPI,15,DP001,1
100128,C00128,35,Male,Mumbai,R0493,Restaurant_180,South Indian,4.2,4.2,701,10.1,53,2025-12-09,20,UPI,25,DP005,1
100129,C00129,53,Female,Delhi,R0147,Restaurant_451,Burger,4.3,4.9,510,4.0,16,2025-04-17,23,Credit Card,20,DP002,0
100130,C00130,33,Male,Mumbai,R0287,Restaurant_127,North Indian,4.9,4.5,613,13.7,84,2024-05-30,11,Credit Card,5,DP004,0
100131,C00131,52,Female,Pune,R0208,Restaurant_258,Pizza,4.2,4.0,537,4.8,27,2025-11-26,13,UPI,25,DP004,0
100132,C00132,45,Female,Pune,R0471,Restaurant_185,Biryani,4.2,4.7,635,6.5,27,2024-06-10,20,Credit Card,10,DP005,1
100133,C00133,57,Male,Bangalore,R0043,Restaurant_410,Biryani,4.6,3.3,703,10.8,74,2024-12-18,21,Debit Card,5,DP003,0
100134,C00134,57,Female,Pune,R0247,Restaurant_484,Pizza,4.4,4.5,547,2.1,12,2025-11-04,9,Debit Card,5,DP002,0
100135,C00135,39,Male,Pune,R0084,Restaurant_212,Desserts,3.6,3.2,405,3.7,25,2024-07-05,7,Wallet,20,DP002,0
100136,C00136,58,Female,Kolkata,R0113,Restaurant_9,Burger,4.3,3.8,579,11.2,58,2024-04-17,0,UPI,20,DP004,0
100137,C00137,39,Female,Bangalore,R0436,Restaurant_372,Pizza,3.5,3.7,591,6.1,31,2025-02-06,18,Debit Card,20,DP004,0
100138,C00138,30,Male,Bangalore,R0405,Restaurant_396,Desserts,4.3,4.5,474,3.3,13,2024-08-14,3,Credit Card,0,DP004,0
100139,C00139,36,Female,Pune,R0158,Restaurant_470,Desserts,3.6,3.5,513,14.3,77,2025-10-01,14,Credit Card,10,DP002,0
100140,C00140,40,Male,Hyderabad,R0298,Restaurant_78,North Indian,5.0,3.7,677,6.8,43,2025-01-07,8,UPI,15,DP003,0
100141,C00141,60,Male,Delhi,R0432,Restaurant_20,Chinese,4.6,4.3,550,9.0,52,2024-07-13,18,Wallet,20,DP003,1
100142,C00142,40,Male,Pune,R0420,Restaurant_313,North Indian,3.6,3.7,620,4.7,20,2025-11-04,13,Credit Card,5,DP003,1
100143,C00143,36,Female,Hyderabad,R0422,Restaurant_84,Burger,3.7,4.3,660,12.1,69,2024-03-23,10,UPI,25,DP001,0
100144,C00144,37,Male,Kolkata,R0292,Restaurant_393,Pizza,4.9,3.4,538,10.4,63,2024-01-04,21,UPI,10,DP002,0
100145,C00145,25,Female,Mumbai,R0179,Restaurant_198,North Indian,4.4,3.5,680,6.2,31,2025-05-02,13,Cash,10,DP003,0
100146,C00146,59,Male,Hyderabad,R0052,Restaurant_433,Pizza,3.6,4.4,596,7.7,35,2024-01-26,10,Wallet,25,DP003,1
100147,C00147,37,Male,Bangalore,R0010,Restaurant_370,South Indian,4.8,4.0,552,9.6,49,2025-06-04,12,Credit Card,25,DP004,0
100148,C00148,54,Male,Mumbai,R0302,Restaurant_118,Pizza,4.1,3.1,638,14.8,69,2024-03-07,23,Debit Card,25,DP001,1
100149,C00149,42,Female,Mumbai,R0445,Restaurant_264,Chinese,4.9,4.4,470,3.2,21,2024-06-28,9,Wallet,5,DP001,0
100150,C00150,20,Female,Hyderabad,R0423,Restaurant_387,Desserts,4.4,3.9,752,11.1,73,2024-06-20,20,Cash,0,DP002,0
100151,C00151,28,Male,Delhi,R0236,Restaurant_162,Pizza,4.2,4.4,475,4.3,29,2025-05-12,16,Credit Card,10,DP001,0
100152,C00152,55,Female,Delhi,R0019,Restaurant_283,South Indian,3.7,3.5,619,1.5,7,2024-12-18,15,Wallet,0,DP005,1
100153,C00153,43,Male,Pune,R0067,Restaurant_94,Biryani,4.1,3.6,652,3.6,18,2025-11-12,3,Credit Card,15,DP001,0
100154,C00154,34,Female,Kolkata,R0429,Restaurant_35,North Indian,4.1,3.6,519,2.7,17,2025-05-14,18,Debit Card,0,DP001,0
100155,C00155,37,Female,Hyderabad,R0212,Restaurant_254,South Indian,4.5,3.2,641,7.3,37,2024-07-16,16,Cash,10,DP004,0
100156,C00156,27,Male,Hyderabad,R0166,Restaurant_112,Pizza,4.9,4.4,688,13.2,57,2024-06-06,20,Cash,25,DP003,1
100157,C00157,20,Male,Pune,R0366,Restaurant_493,Biryani,3.5,3.9,534,9.0,43,2025-07-22,18,Credit Card,5,DP002,1
100158,C00158,52,Male,Pune,R0303,Restaurant_316,South Indian,4.6,4.3,665,8.7,53,2024-07-25,19,Credit Card,0,DP004,0
100159,C00159,23,Male,Hyderabad,R0378,Restaurant_420,Biryani,3.7,4.2,496,14.6,78,2025-03-13,10,Debit Card,25,DP004,0
100160,C00160,41,Male,Bangalore,R0353,Restaurant_386,Desserts,4.6,3.8,512,2.3,12,2025-07-23,18,UPI,25,DP001,1
100161,C00161,21,Female,Hyderabad,R0301,Restaurant_391,North Indian,3.8,4.5,577,1.5,8,2024-05-16,22,Credit Card,25,DP001,1
100162,C00162,55,Male,Delhi,R0351,Restaurant_183,Biryani,4.4,3.8,648,5.0,20,2024-05-22,10,UPI,25,DP002,0
100163,C00163,20,Male,Mumbai,R0013,Restaurant_300,Desserts,3.8,3.8,490,5.4,37,2024-11-05,8,Wallet,25,DP005,0
100164,C00164,24,Female,Mumbai,R0302,Restaurant_318,Desserts,4.4,4.0,596,5.8,26,2025-10-19,7,Cash,0,DP003,0
100165,C00165,27,Male,Chennai,R0486,Restaurant_187,Pizza,4.0,3.6,530,11.1,75,2024-12-02,2,Debit Card,10,DP002,0
100166,C00166,28,Female,Delhi,R0032,Restaurant_378,Desserts,4.0,4.1,438,2.7,16,2024-03-30,12,Debit Card,15,DP005,1
100167,C00167,19,Male,Mumbai,R0476,Restaurant_468,Desserts,4.0,4.4,542,2.7,17,2025-08-05,23,UPI,10,DP005,1
100168,C00168,60,Male,Hyderabad,R0326,Restaurant_433,Burger,3.8,3.1,708,13.1,85,2024-12-11,2,UPI,25,DP001,0
100169,C00169,37,Female,Delhi,R0074,Restaurant_45,North Indian,4.3,4.9,527,5.8,30,2025-07-17,9,Debit Card,20,DP004,1
100170,C00170,25,Female,Mumbai,R0150,Restaurant_468,Biryani,4.2,4.6,584,8.1,50,2025-04-11,14,Debit Card,5,DP005,0
100171,C00171,35,Male,Pune,R0485,Restaurant_333,North Indian,3.6,3.2,389,2.1,11,2024-01-13,5,UPI,20,DP002,0
100172,C00172,22,Female,Pune,R0459,Restaurant_225,Chinese,3.8,3.3,547,3.0,18,2024-02-18,6,Credit Card,0,DP004,1
100173,C00173,48,Male,Hyderabad,R0029,Restaurant_194,Desserts,4.1,4.5,555,3.2,21,2025-02-14,14,Cash,20,DP001,0
100174,C00174,29,Female,Delhi,R0445,Restaurant_137,South Indian,4.7,4.7,495,7.4,41,2024-09-12,14,Credit Card,20,DP002,0
100175,C00175,20,Male,Hyderabad,R0298,Restaurant_95,Chinese,4.0,5.0,567,6.3,32,2025-05-28,22,Debit Card,5,DP003,0
100176,C00176,21,Male,Bangalore,R0028,Restaurant_3,Pizza,4.7,3.0,591,8.7,46,2025-09-25,1,Credit Card,20,DP002,0
100177,C00177,48,Female,Delhi,R0169,Restaurant_205,Pizza,3.6,4.2,613,2.2,13,2024-11-02,20,Debit Card,15,DP003,0
100178,C00178,21,Male,Bangalore,R0070,Restaurant_365,North Indian,4.1,3.5,430,2.9,16,2025-04-10,21,Debit Card,15,DP004,1
100179,C00179,59,Female,Kolkata,R0258,Restaurant_228,Desserts,4.9,3.2,683,5.5,24,2025-07-29,9,UPI,0,DP002,0
100180,C00180,40,Female,Kolkata,R0076,Restaurant_259,South Indian,3.6,4.8,563,4.4,29,2025-10-29,6,Cash,15,DP005,1
100181,C00181,53,Female,Pune,R0122,Restaurant_63,North Indian,4.6,4.3,557,12.1,79,2025-01-24,14,Wallet,10,DP003,0
100182,C00182,19,Female,Chennai,R0456,Restaurant_24,Desserts,4.0,3.1,616,12.8,86,2024-11-16,16,Cash,20,DP004,1
100183,C00183,38,Female,Hyderabad,R0330,Restaurant_447,Biryani,4.6,4.6,640,13.3,59,2025-04-27,3,UPI,0,DP004,1
100184,C00184,47,Male,Pune,R0150,Restaurant_304,North Indian,4.8,3.2,573,4.7,26,2024-02-10,18,Wallet,5,DP003,1
100185,C00185,34,Male,Hyderabad,R0116,Restaurant_352,Biryani,4.7,4.9,723,9.1,39,2024-03-04,3,Credit Card,15,DP003,0
100186,C00186,41,Male,Chennai,R0378,Restaurant_461,Desserts,5.0,3.5,502,4.9,27,2025-07-04,5,Cash,25,DP003,0
100187,C00187,33,Female,Bangalore,R0185,Restaurant_323,Chinese,4.0,4.1,593,3.4,17,2024-03-20,21,Debit Card,15,DP005,1
100188,C00188,20,Female,Kolkata,R0128,Restaurant_138,Pizza,3.8,3.7,498,10.2,60,2024-03-20,6,UPI,10,DP004,0
100189,C00189,59,Male,Pune,R0209,Restaurant_274,South Indian,4.2,4.7,462,7.6,39,2025-05-15,4,Cash,10,DP002,1
100190,C00190,28,Female,Delhi,R0359,Restaurant_113,South Indian,3.6,4.5,573,10.2,58,2025-01-31,21,Wallet,5,DP002,1
